# Rime user dictionary
#@/db_name	dicts
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	127284
#@/user_id	sync
a 	啊	c=227 d=2.80092 t=127284
yu ya 	餘壓	c=2 d=0.0303487 t=127284
yu yan 	語言	c=345 d=4.49576 t=127284
yu yan de 	語言的	c=1 d=0.182684 t=127284
yu yan le 	語言了	c=1 d=0.121238 t=127284
yu yan neng 	語言能	c=1 d=0.489192 t=127284
yu yan zhong 	語言中	c=4 d=0.537944 t=127284
yu yi 	語義	c=13 d=2.10446 t=127284
yu yin 	語音	c=7 d=0.00406639 t=127284
yu zhi 	與之	c=3 d=0.000652304 t=127284
yu zhi 	預置	c=2 d=0.000144295 t=127284
yu zhuang 	預裝	c=2 d=0.0488012 t=127284
yu zhuang le 	預裝了	c=1 d=1.8325e-08 t=127284
yu zu 	獄卒	c=1 d=1 t=124437
yuan 	元	c=15 d=0.91394 t=127284
yuan 	原	c=13 d=0.286511 t=127284
yuan 	員	c=2 d=0.000480828 t=127284
yuan 	源	c=19 d=1.23154 t=127284
yuan an 	冤案	c=0 d=7.61514e-32 t=127284
yuan an le 	冤案了	c=1 d=7.65331e-31 t=127284
yuan ban 	原版	c=2 d=0.637628 t=127284
yuan ben 	原本	c=15 d=0.599392 t=127284
yuan ben ne 	原本呢	c=1 d=3.24763e-05 t=127284
yuan bo 	淵博	c=2 d=2.09095e-23 t=127284
yuan ceng 	原曾	c=1 d=4.3837e-34 t=127284
yuan cheng 	遠程	c=58 d=0.877646 t=127284
yuan cheng cang ku 	遠程倉庫	c=1 d=4.40567e-34 t=127284
yuan da tou 	冤大頭	c=1 d=0.000584356 t=127284
yuan dai ma 	源代碼	c=1 d=0.0972957 t=127284
yuan fang 	遠方	c=3 d=1.03383e-09 t=127284
yuan gong 	員工	c=1 d=0.000323925 t=127284
yuan gong cheng 	源工程	c=4 d=0.664883 t=127284
yuan ji lu 	原記錄	c=2 d=2.8612e-34 t=127284
yuan jiao 	圓角	c=12 d=0.164474 t=127284
yuan lai 	原來	c=16 d=0.794534 t=127284
yuan lai shi 	原來是	c=1 d=4.56275e-05 t=127284
yuan li 	原理	c=59 d=2.98762 t=127284
yuan ma 	原碼	c=1 d=0.574072 t=127284
yuan ma 	源碼	c=21 d=1.81064 t=127284
yuan me 	源麼	c=1 d=4.00721e-07 t=127284
yuan ming ling 	元命令	c=1 d=0.551563 t=127284
yuan sheng 	原生	c=20 d=0.985112 t=127284
yuan sheng 	原聲	c=1 d=5.6445e-08 t=127284
yuan shi 	原始	c=10 d=0.970513 t=127284
yuan su 	元素	c=60 d=2.26479 t=127284
yuan su 	原素	c=8 d=1.15694 t=127284
yuan suan fu 	源酸腐	c=1 d=0.970446 t=127284
yuan tie 	原帖	c=1 d=3.78297e-06 t=127284
yuan tou 	源頭	c=7 d=0.000174825 t=127284
yuan tu 	原圖	c=6 d=9.07011e-07 t=127284
yuan wang qian 	冤枉錢	c=2 d=9.3466e-21 t=127284
yuan wen 	原文	c=28 d=3.04641 t=127284
yuan wen er 	原文而	c=1 d=0.000448321 t=127284
yuan wen jian 	源文件	c=3 d=0.000401622 t=127284
yuan xian 	原先	c=1 d=1.12999e-26 t=127284
yuan xiang 	原鄉	c=1 d=2.37291e-19 t=127284
yuan xing 	原型	c=1 d=0.00364281 t=127284
yuan yi 	願意	c=2 d=0.0196437 t=127284
yuan yin 	原因	c=40 d=0.616113 t=127284
yuan you 	原有	c=2 d=0.00990218 t=127284
yuan yuan 	遠遠	c=2 d=0.146713 t=127284
yuan ze 	原則	c=3 d=1.29503e-09 t=127284
yuan zi 	原子	c=20 d=0.1764 t=127284
yuan zi cao zuo 	原子操作	c=1 d=0.000224867 t=127284
yuan zu 	元组	c=1 d=8.53595e-21 t=127284
yuan zu 	遠足	c=1 d=8.49338e-21 t=127284
yue 	月	c=28 d=1.71716 t=127284
yue 	越	c=19 d=0.98408 t=127284
yue da 	越大	c=4 d=0.0746459 t=127284
yue di 	越低	c=3 d=2.78179e-07 t=127284
yue ding 	約定	c=1 d=0.418952 t=127284
yue du 	閱讀	c=11 d=1 t=127284
yue duo 	越多	c=2 d=5.84913e-07 t=127284
yue fen 	月份	c=4 d=8.52164e-20 t=127284
yue gao 	越高	c=4 d=0.000297529 t=127284
yue hao 	越好	c=1 d=0.182684 t=127284
yue jie 	越界	c=2 d=0.000112226 t=127284
yue ka 	月卡	c=1 d=0.000825105 t=127284
yue kan 	越看	c=1 d=0.0149208 t=127284
yue kuai 	越快	c=1 d=3.32351e-12 t=127284
yue lai 	越來	c=1 d=0.311923 t=127284
yue lai yue 	越來越	c=1 d=2.70933e-20 t=127284
yue shu 	約束	c=63 d=0.00249118 t=127284
yue xiao 	越小	c=1 d=7.8119e-37 t=127284
yue yue 	月月	c=1 d=2.52007e-21 t=127284
yun 	暈	c=1 d=0.145148 t=127284
yun 	運	c=1 d=0.501576 t=127284
yun 	雲	c=21 d=1.00388 t=127284
yun a zi 	雲阿紫	c=2 d=0.000241552 t=127284
yun chu 	雲儲	c=1 d=1.0031e-07 t=127284
yun ci ku 	雲詞庫	c=1 d=0.0385808 t=127284
yun dong 	運動	c=1 d=0.83527 t=127284
yun duan 	雲端	c=1 d=1.50395e-07 t=127284
yun niang 	醞釀	c=1 d=0.0780817 t=127284
yun pan 	雲盤	c=18 d=1.92898 t=127284
yun qi 	運氣	c=1 d=0.955997 t=127284
yun suan 	運算	c=22 d=1.97038 t=127284
yun suan fu 	運算符	c=16 d=1.23383 t=127284
yun suan qi 	運算器	c=1 d=0.0381969 t=127284
yun suan shu 	運算樹	c=1 d=7.96861e-06 t=127284
yun xing 	運行	c=133 d=1.79654 t=127284
yun xing qi 	运行期	c=2 d=0.00362464 t=127284
yun xing shi 	運行時	c=14 d=0.0544757 t=127284
yun xu 	允許	c=27 d=0.390628 t=127284
yun xun 	雲尋	c=1 d=1 t=125498
yun ying shang 	運營商	c=1 d=1 t=125983
yun yong 	運用	c=2 d=0.00122556 t=127284
yun yu 	雲雨	c=1 d=0.0658748 t=127284
yun zuo 	運作	c=1 d=5.72182e-21 t=127284
za 	咋	c=58 d=1.14147 t=127284
za 	砸	c=1 d=8.87827e-13 t=127284
za 	雜	c=2 d=2.45587e-19 t=127284
za de 	匝地	c=-1 d=0 t=127284
za di 	匝地	c=-1 d=0 t=127284
za hui shi 	咋回事	c=8 d=0.697031 t=127284
za le 	咋了	c=3 d=0.970446 t=127284
za le 	砸了	c=-1 d=0 t=127284
za shi xian 	咋實現	c=1 d=1.11738e-41 t=127284
za wu 	雜物	c=1 d=1 t=127284
za xiang 	雜項	c=2 d=0.99005 t=127284
za ya 	咋呀	c=1 d=0.0695994 t=127284
za yang 	咋樣	c=11 d=0.233587 t=127284
za yong 	咋用	c=2 d=0.960789 t=127284
za yong 	雜用	c=-3 d=0.956179 t=127284
za zheng 	咋整	c=1 d=0.985112 t=127284
zai 	再	c=149 d=3.82278 t=127284
zai 	在	c=1123 d=5.38683 t=127284
zai ci 	再次	c=14 d=0.344728 t=127284
zai ci 	在此	c=1 d=3.83023e-05 t=127284
zai du 	在讀	c=2 d=2.16211e-05 t=127284
zai duo ge 	在多個	c=1 d=7.6004e-67 t=127284
zai hen duo 	在很多	c=1 d=1.1145e-40 t=127284
zai hong hei 	在紅黑	c=1 d=0.0219278 t=127284
zai hu 	在乎	c=2 d=7.25261e-16 t=127284
zai jia 	在家	c=3 d=1.39537 t=127284
zai kan 	再看	c=1 d=5.20061e-15 t=127284
zai lai 	再來	c=2 d=0.00082099 t=127284
zai le 	在了	c=1 d=0.748264 t=127284
zai ma 	在嗎	c=1 d=7.9906e-09 t=127284
zai ma 	在馬	c=1 d=7.95075e-09 t=127284
zai na 	在哪	c=14 d=0.621979 t=127284
zai na kan 	在哪看	c=1 d=4.08886e-09 t=127284
zai na li 	在哪裏	c=4 d=0.96833 t=127284
zai ni 	在你	c=1 d=6.20702e-08 t=127284
zai qi 	在其	c=3 d=0.409912 t=127284
zai qu 	再去	c=1 d=0.0177743 t=127284
zai shuo 	再說	c=2 d=0.0515605 t=127284
zai wo 	在我	c=9 d=0.45612 t=127284
zai wo de 	在我的	c=2 d=1.98511 t=126702
zai wo zhe 	在我這	c=1 d=1.43206e-19 t=127284
zai xian 	在線	c=11 d=1.51572 t=127284
zai xiang 	在想	c=2 d=0.384812 t=127284
zai ye 	再也	c=5 d=0.054204 t=127284
zai yi 	在意	c=3 d=0.0569831 t=127284
zai yi qi 	在一起	c=1 d=0.755784 t=127284
zai yong 	再用	c=1 d=1.96504e-06 t=127284
zai yu 	在於	c=7 d=0.538816 t=127284
zai zhe ge 	在這個	c=1 d=0.0146253 t=127284
zai zheng 	再整	c=1 d=0.628135 t=127284
zan 	咱	c=2 d=0.008271 t=127284
zan 	讚	c=1 d=3.4945e-14 t=127284
zan bu 	暫不	c=1 d=3.73566e-05 t=127284
zan cun 	暫存	c=15 d=5.19473e-09 t=127284
zan cun qu 	暫存區	c=26 d=2.27432e-08 t=127284
zan lia 	咱倆	c=2 d=0.00023056 t=127284
zan shi 	暫時	c=12 d=0.99005 t=127284
zan shi xing 	暫時性	c=1 d=6.46033e-08 t=127284
zan ting 	暫停	c=4 d=2.10244 t=127284
zan zhu 	贊助	c=3 d=0.236951 t=127284
zang 	髒	c=2 d=0.0309618 t=127284
zang ye 	髒頁	c=1 d=2.45534e-09 t=127284
zao 	早	c=18 d=0.818878 t=127284
zao 	造	c=8 d=0.0163259 t=127284
zao cheng 	造成	c=6 d=1.18999e-17 t=127284
zao cheng zi jin cheng 	造成子进程	c=1 d=2.22237e-42 t=127284
zao jiu 	早就	c=1 d=1.35847e-16 t=127284
zao le 	糟了	c=1 d=1.42516e-21 t=127284
zao qi 	早期	c=14 d=0.518367 t=127284
zao shang 	早上	c=14 d=0.195482 t=127284
zao wan 	早晚	c=1 d=3.51381e-20 t=127284
zao wan 	造完	c=2 d=2.07149e-09 t=127284
zao wang 	早亡	c=1 d=0.744532 t=127284
zao yin 	噪音	c=1 d=2.56879e-11 t=127284
zao zai 	早在	c=1 d=6.95379e-21 t=127284
zao zhi dao 	早知道	c=2 d=9.75642e-05 t=127284
ze 	則	c=160 d=1.0902 t=127284
ze ne mei 	則呢沒	c=1 d=0.794534 t=127284
ze wei 	則爲	c=1 d=0.00114769 t=127284
ze zai 	則在	c=1 d=2.55242e-24 t=127284
zen 	怎	c=1 d=0.00113334 t=127284
zen me 	怎麼	c=760 d=9.64647 t=127284
zen me ban 	怎麼辦	c=2 d=1.8506e-06 t=127284
zen me kan 	怎麼看	c=1 d=1.2998e-26 t=127284
zen me shuo 	怎麼說	c=3 d=0.856373 t=127284
zen me tian 	怎麼填	c=1 d=0.000121572 t=127284
zen me xie 	怎麼寫	c=1 d=3.96734e-07 t=127284
zen me yang 	怎麼樣	c=4 d=0.00103848 t=127284
zen me yong 	怎麼用	c=20 d=0.168589 t=127284
zen me zheng 	怎麼整	c=1 d=2.10895e-14 t=127284
zen me zuo 	怎麼做	c=4 d=0.0146634 t=127284
zen men chuang 	怎門窗	c=1 d=0.0113902 t=127284
zen neng 	怎能	c=1 d=8.31529e-07 t=127284
zen yang 	怎樣	c=29 d=1.61371 t=127284
zeng 	增	c=3 d=0.131336 t=127284
zeng 	曾	c=2 d=0.0018363 t=127284
zeng 	贈	c=1 d=0.131994 t=127284
zeng chang 	增長	c=2 d=0.0122778 t=127284
zeng da 	增大	c=4 d=0.683861 t=127284
zeng jia 	增加	c=65 d=1.37438 t=127284
zeng jia ai 	增加愛	c=1 d=4.02854e-40 t=127284
zeng jia le 	增加了	c=2 d=3.46751e-11 t=127284
zeng liang 	增量	c=1 d=0.00848038 t=127284
zeng qiang 	增強	c=15 d=0.865843 t=127284
zeng shan 	增刪	c=1 d=0.0496871 t=127284
zeng shan cha gai 	增刪查改	c=1 d=0.0555762 t=127284
zeng shan gai cha 	增刪改查	c=1 d=0.000265207 t=127284
zeng zhang 	增長	c=4 d=0.0280154 t=127284
zeng zhao 	曾找	c=1 d=1.67188e-17 t=127284
zha 	炸	c=4 d=0.0017643 t=127284
zha cheng 	紮成	c=1 d=9.83238e-08 t=127284
zha jin 	扎進	c=0 d=6.25428e-10 t=127284
zha jin qu 	扎進去	c=1 d=6.28563e-09 t=127284
zha kai 	炸開	c=1 d=6.51174e-13 t=127284
zha le 	炸了	c=2 d=0.0198421 t=127284
zha lie 	炸裂	c=3 d=0.447088 t=127284
zha nan 	渣男	c=5 d=1.84633 t=127284
zha nan liu 	渣男流	c=2 d=0.136123 t=127284
zhai 	宅	c=2 d=0.00141589 t=127284
zhai chao 	摘抄	c=1 d=1.91255e-11 t=127284
zhai men 	宅門	c=0 d=5.0933e-06 t=127284
zhan 	佔	c=13 d=0.26054 t=127284
zhan 	棧	c=30 d=0.84892 t=127284
zhan 	沾	c=1 d=0.625002 t=127284
zhan 	站	c=54 d=1.64781 t=127284
zhan bi 	佔比	c=1 d=1.41781e-19 t=127284
zhan bian 	沾邊	c=2 d=0.000155664 t=127284
zhan chu lai 	站出來	c=1 d=0.008396 t=127284
zhan dian 	站點	c=9 d=0.0292491 t=127284
zhan ding 	棧頂	c=1 d=1.4093e-07 t=127284
zhan ding 	站定	c=1 d=1.40227e-07 t=127284
zhan hou 	戰吼	c=1 d=5.26737e-18 t=127284
zhan jiang 	戰將	c=1 d=9.23745e-09 t=127284
zhan ju 	佔據	c=6 d=1.28779e-05 t=127284
zhan kai 	展開	c=16 d=0.751595 t=127284
zhan kan 	棧看	c=1 d=0.109701 t=127284
zhan le 	佔了	c=4 d=0.453845 t=127284
zhan ling 	佔領	c=1 d=9.98097e-08 t=127284
zhan lve 	戰略	c=2 d=0.00448566 t=127284
zhan man 	佔滿	c=5 d=0.722527 t=127284
zhan man le 	佔滿了	c=1 d=0.000185029 t=127284
zhan ming 	站名	c=1 d=9.63245e-31 t=127284
zhan shi 	展示	c=4 d=0.000819726 t=127284
zhan tie 	粘貼	c=9 d=0.0977394 t=127284
zhan wan le 	佔完了	c=1 d=6.86332e-14 t=127284
zhan wei 	佔位	c=8 d=0.806668 t=127284
zhan wei fu 	佔位符	c=2 d=5.25109e-11 t=127284
zhan xian 	展現	c=1 d=0.826959 t=127284
zhan xian 	戰線	c=1 d=0.000368894 t=127284
zhan yong 	佔用	c=30 d=0.634461 t=127284
zhan yong ge 	佔用個	c=1 d=0.0202419 t=127284
zhan yong lv 	佔用率	c=1 d=1.94648e-12 t=127284
zhan you 	佔有	c=1 d=0.214381 t=127284
zhan zai 	站在	c=1 d=0.000480828 t=127284
zhan zhang 	站長	c=4 d=0.0150707 t=127284
zhan zhang zhi jia 	站長之家	c=1 d=5.93067e-31 t=127284
zhan zhe 	站着	c=1 d=0.00869506 t=127284
zhan zhen 	棧幀	c=2 d=0.048615 t=127284
zhang 	張	c=6 d=0.464987 t=127284
zhang 	漲	c=0 d=1.08927e-07 t=127284
zhang 	章	c=18 d=0.52822 t=127284
zhang cheng 	長成	c=0 d=0.0995012 t=127284
zhang dan 	賬單	c=4 d=0.561887 t=127284
zhang duo shao 	漲多少	c=1 d=1.09473e-06 t=127284
zhang fu 	丈夫	c=1 d=0.228779 t=127284
zhang gui 	掌櫃	c=2 d=0.00215161 t=127284
zhang hao 	帳號	c=55 d=1.08756 t=127284
zhang hu 	賬戶	c=32 d=0.961228 t=127284
zhang jia 	漲價	c=1 d=4.51735e-05 t=127284
zhang jie 	章節	c=14 d=2.51708 t=127284
zhang kong 	掌控	c=1 d=4.03004e-15 t=127284
zhang san 	張三	c=3 d=0.287944 t=127284
zhang wei 	張偉	c=1 d=0.0315873 t=127284
zhang wo 	掌握	c=5 d=6.64177e-16 t=127284
zhang zui 	張嘴	c=1 d=0.232236 t=127284
zhao 	找	c=40 d=1.56992 t=127284
zhao 	照	c=3 d=0.00375375 t=127284
zhao 	趙	c=3 d=0.587778 t=127284
zhao bu dao 	找不到	c=11 d=0.516774 t=127284
zhao cha 	找茬	c=1 d=2.2106e-09 t=127284
zhao chu 	找出	c=3 d=0.256834 t=127284
zhao dao 	找到	c=46 d=1.11204 t=127284
zhao dao le 	找到了	c=2 d=1.02072e-06 t=127284
zhao de 	找的	c=2 d=0.373439 t=127284
zhao ge 	找個	c=6 d=1.13976 t=127284
zhao hui 	找回	c=1 d=0.932394 t=127284
zhao le 	找了	c=10 d=0.538292 t=127284
zhao li 	照例	c=1 d=1.58348e-25 t=127284
zhao pian 	照片	c=2 d=2.86651e-07 t=127284
zhao zhao 	找找	c=1 d=1.34087e-11 t=127284
zhao zhe 	照着	c=1 d=0.579842 t=127284
zhe 	着	c=21 d=0.392586 t=127284
zhe 	者	c=26 d=1.26271 t=127284
zhe 	這	c=475 d=4.83254 t=127284
zhe bei zi 	這輩子	c=1 d=0.0176857 t=127284
zhe ben 	這本	c=2 d=0.00357068 t=127284
zhe bu 	這不	c=1 d=2.8527e-09 t=127284
zhe bu 	這部	c=10 d=1.10066 t=127284
zhe bu fen 	這部分	c=1 d=0.000251014 t=127284
zhe bu guo 	這不過	c=1 d=2.14593e-42 t=127284
zhe bu shi 	這不是	c=2 d=0.00017252 t=127284
zhe bu shuo le 	這部說了	c=2 d=0.0561348 t=127284
zhe cai shi 	這纔是	c=2 d=0.722527 t=127284
zhe ce 	這測	c=4 d=0.540641 t=127284
zhe chang 	這場	c=1 d=4.50645e-06 t=127284
zhe ci 	這次	c=17 d=0.810584 t=127284
zhe dang 	遮擋	c=1 d=1.48873e-05 t=127284
zhe dao 	這道	c=4 d=1.22498e-05 t=127284
zhe dao ti 	這道題	c=14 d=0.00775048 t=127284
zhe dian 	這點	c=5 d=0.000889554 t=127284
zhe die 	摺疊	c=3 d=0.0151463 t=127284
zhe dong xi 	這東西	c=4 d=0.790571 t=127284
zhe dou 	這都	c=4 d=0.00311976 t=127284
zhe dou shi 	這都是	c=1 d=0.0259911 t=127284
zhe duan 	這段	c=10 d=0.949481 t=127284
zhe dui 	這對	c=1 d=1.62611e-14 t=127284
zhe fang mian 	這方面	c=3 d=0.25924 t=127284
zhe fen 	這份	c=2 d=0.0736208 t=127284
zhe feng ge 	這風格	c=1 d=1.67963e-42 t=127284
zhe ge 	這個	c=556 d=3.2955 t=127284
zhe ge gai 	這個該	c=1 d=2.6842e-28 t=127284
zhe ge han jia 	這個寒假	c=1 d=0.83527 t=127284
zhe ge sou suo 	這個搜索	c=1 d=0.000750328 t=127284
zhe ge yue 	這個月	c=2 d=2.88785e-06 t=127284
zhe ge zhou 	這個周	c=1 d=1.00327e-09 t=127284
zhe gen 	這根	c=1 d=0.412714 t=127284
zhe gui ze 	這規則	c=1 d=7.46967e-10 t=127284
zhe guo wai 	這國外	c=1 d=0.733447 t=127284
zhe hai 	這還	c=3 d=1.59722e-09 t=127284
zhe hai shi 	這還是	c=3 d=0.103837 t=127284
zhe han shu 	這函數	c=1 d=1.13996e-41 t=127284
zhe hang 	這行	c=2 d=0.00130703 t=127284
zhe hei si 	這黑絲	c=1 d=0.179964 t=127284
zhe hen hao 	這很好	c=1 d=4.99568e-42 t=127284
zhe hou zui neng gou 	這後最能夠	c=1 d=1.72309e-19 t=127284
zhe hui 	這回	c=5 d=0.000287295 t=127284
zhe hui rang 	這會讓	c=1 d=1.03615e-06 t=127284
zhe hui zong 	這彙總	c=1 d=0.101774 t=127284
zhe ji ge 	這幾個	c=1 d=0.00105417 t=127284
zhe ji tian 	這幾天	c=3 d=0.869358 t=127284
zhe jian shi 	這件事	c=4 d=0.843448 t=127284
zhe jiu 	這就	c=1 d=0.0112769 t=127284
zhe jiu shi 	這就是	c=1 d=2.36027e-15 t=127284
zhe ju 	這劇	c=1 d=4.86074e-14 t=127284
zhe ju 	這句	c=0 d=1.06567e-14 t=127284
zhe ju hu 	這句戶	c=1 d=1.07101e-13 t=127284
zhe ju hua 	這句話	c=6 d=0.887237 t=127284
zhe ke 	這棵	c=1 d=2.17695e-05 t=127284
zhe ke neng 	這可能	c=1 d=0.251579 t=127284
zhe kuai 	這塊	c=3 d=0.606531 t=127284
zhe lei 	這類	c=3 d=6.98033e-07 t=127284
zhe li 	這裏	c=54 d=1.53342 t=127284
zhe li mian 	這裏面	c=1 d=1 t=126054
zhe lia 	這倆	c=13 d=0.946485 t=127284
zhe liang 	這兩	c=1 d=1.64811e-25 t=127284
zhe liang ge 	這兩個	c=5 d=0.344728 t=127284
zhe liang xiang 	這兩項	c=1 d=2.14637e-15 t=127284
zhe liang zhong 	這兩種	c=2 d=3.15981e-06 t=127284
zhe me 	這麼	c=42 d=1.17746 t=127284
zhe me chang 	這麼長	c=2 d=0.0614212 t=127284
zhe me da 	這麼大	c=1 d=3.10949e-23 t=127284
zhe me dian 	這麼點	c=1 d=0.786628 t=127284
zhe me diao 	這麼叼	c=1 d=0.0271874 t=127284
zhe me duo 	這麼多	c=26 d=1.10092 t=127284
zhe me duo nian 	這麼多年	c=1 d=5.57296e-05 t=127284
zhe me duo ren 	這麼多人	c=1 d=2.05192e-15 t=127284
zhe me gao 	這麼高	c=1 d=5.42317e-08 t=127284
zhe me gui 	這麼貴	c=2 d=1.93111e-07 t=127284
zhe me hao 	這麼好	c=0 d=0.0438235 t=127284
zhe me hao yong 	這麼好用	c=1 d=0.440432 t=127284
zhe me jiu 	這麼久	c=5 d=0.00035443 t=127284
zhe me kuai 	這麼快	c=2 d=0.00241755 t=127284
zhe me man 	這麼慢	c=1 d=0.101266 t=127284
zhe me shao 	這麼少	c=1 d=0.650509 t=127284
zhe me shuo 	這麼說	c=1 d=1.0631e-14 t=127284
zhe me zuo 	這麼做	c=1 d=3.69912e-07 t=127284
zhe men 	這門	c=1 d=1.41637e-07 t=127284
zhe men ke 	這門課	c=3 d=0.882497 t=127284
zhe ming 	這名	c=3 d=2.05146e-28 t=127284
zhe mo 	折磨	c=5 d=0.0342044 t=127284
zhe ne 	着呢	c=0 d=2.09665e-05 t=127284
zhe ne me 	着呢麼	c=1 d=0.000210716 t=127284
zhe neng 	這能	c=1 d=3.06163e-17 t=127284
zhe pian 	這篇	c=9 d=1.87453 t=127284
zhe piao 	這嫖	c=1 d=1 t=124270
zhe qian 	這錢	c=1 d=0.000359786 t=127284
zhe qun 	這羣	c=3 d=8.05607e-09 t=127284
zhe qun li 	這羣裏	c=1 d=1.31649e-29 t=127284
zhe ren 	這人	c=9 d=0.252608 t=127284
zhe ruan jian 	這軟件	c=2 d=0.653802 t=127284
zhe shi 	這是	c=249 d=4.56161 t=127284
zhe shi bu shi 	這是不是	c=1 d=0.214381 t=127284
zhe shi hou 	這時候	c=4 d=1.33411 t=127284
zhe shi sha 	這是啥	c=5 d=0.00337959 t=127284
zhe shu 	這書	c=1 d=7.47857e-24 t=127284
zhe suan 	折算	c=0 d=0.00105145 t=127284
zhe suan shi 	折算是	c=1 d=0.0105672 t=127284
zhe tai 	這臺	c=1 d=1 t=125595
zhe te me 	這特麼	c=1 d=1.44194e-41 t=127284
zhe teng 	折騰	c=21 d=1.06015 t=127284
zhe teng guo 	折騰過	c=1 d=0.00010569 t=127284
zhe teng le 	折騰了	c=2 d=0.00238156 t=127284
zhe tian 	這天	c=0 d=0.011475 t=127284
zhe tian 	遮天	c=1 d=1 t=124123
zhe wan 	折彎	c=0 d=1.02142e-15 t=127284
zhe wan shi 	折彎是	c=1 d=1.02654e-14 t=127284
zhe wan yi 	這玩意	c=30 d=1.039 t=127284
zhe wan yi 	這萬一	c=2 d=5.19619e-05 t=127284
zhe wang zhan 	這網站	c=1 d=2.3521e-33 t=127284
zhe wei 	這位	c=1 d=0.000863083 t=127284
zhe wo 	這我	c=1 d=5.93996e-20 t=127284
zhe xia 	這下	c=12 d=0.66034 t=127284
zhe xiang mu 	這項目	c=1 d=0.0129715 t=127284
zhe xie 	這些	c=132 d=2.42907 t=127284
zhe xie ku 	這些庫	c=1 d=0.00126207 t=127284
zhe xie shu 	這些書	c=1 d=4.62132e-08 t=127284
zhe xuan 	這選	c=1 d=7.31927e-06 t=127284
zhe xue 	哲學	c=1 d=9.78167e-06 t=127284
zhe xue qi 	這學期	c=1 d=0.00069264 t=127284
zhe yan 	遮掩	c=1 d=7.06827e-66 t=127284
zhe yang 	這樣	c=69 d=1.20943 t=127284
zhe yang xie 	這樣寫	c=1 d=0.00486835 t=127284
zhe yang zi 	這樣子	c=1 d=0.045502 t=127284
zhe yao 	這要	c=1 d=0.0256042 t=127284
zhe yao shi 	這要是	c=2 d=0.946485 t=127284
zhe ye 	這也	c=4 d=0.995012 t=127284
zhe ye neng 	這也能	c=1 d=4.74073e-14 t=127284
zhe ye shi 	這也是	c=3 d=0.202909 t=127284
zhe ye zhi shi 	這也只是	c=1 d=0.532592 t=127284
zhe yi 	這一	c=1 d=0.0218712 t=127284
zhe yi chuan 	這一串	c=1 d=0.219808 t=127284
zhe yi dao 	這一道	c=1 d=0.000246044 t=127284
zhe yi dian 	這一點	c=1 d=8.10998e-07 t=127284
zhe yi ti 	這一題	c=1 d=1 t=124029
zhe you 	這又	c=2 d=0.000728153 t=127284
zhe yu yan 	這語言	c=1 d=3.37546e-18 t=127284
zhe za 	這咋	c=4 d=0.240723 t=127284
zhe zhang 	這張	c=6 d=0.606531 t=127284
zhe zhang tu 	這張圖	c=5 d=0.886965 t=127284
zhe zhi shi 	這只是	c=1 d=1.18365e-13 t=127284
zhe zhong 	這種	c=113 d=0.87879 t=127284
zhe zhong hai hao 	這種還好	c=1 d=0.000703108 t=127284
zhe zhong shi 	這種事	c=1 d=0.99005 t=127284
zhe zong 	這總	c=1 d=2.96912e-09 t=127284
zhen 	幀	c=4 d=1.44519 t=127284
zhen 	珍	c=2 d=0.67368 t=127284
zhen 	真	c=135 d=2.07446 t=127284
zhen 	陣	c=1 d=0.0325493 t=127284
zhen bu 	真不	c=0 d=7.96726e-05 t=127284
zhen bu ru 	真不如	c=2 d=0.000800719 t=127284
zhen bu xiang 	真不想	c=1 d=4.26892e-16 t=127284
zhen de 	真的	c=43 d=1.13548 t=127284
zhen dui 	針對	c=13 d=0.822835 t=127284
zhen dui xing 	針對性	c=1 d=4.70171e-05 t=127284
zhen fu 	振幅	c=1 d=1 t=124689
zhen guan zhuan 	真官轉	c=1 d=1.11723e-10 t=127284
zhen gui 	珍貴	c=1 d=0.000249763 t=127284
zhen hao wan 	真好玩	c=1 d=0.000393669 t=127284
zhen jia 	真假	c=3 d=0.324652 t=127284
zhen lei 	真累	c=1 d=1.99263e-23 t=127284
zhen nan 	真難	c=1 d=0.000176887 t=127284
zhen nan ren 	真男人	c=1 d=4.33418e-18 t=127284
zhen ren 	真人	c=1 d=8.24517e-25 t=127284
zhen shi 	真實	c=15 d=0.209213 t=127284
zhen shi 	真是	c=6 d=0.191092 t=127284
zhen shuang 	真爽	c=2 d=0.00052611 t=127284
zhen ting 	偵聽	c=1 d=1.22623e-17 t=127284
zhen ting duo 	真挺多	c=1 d=1.03365e-07 t=127284
zhen ting hao 	真挺好	c=2 d=5.34152e-06 t=127284
zhen xi 	珍惜	c=1 d=8.44096e-07 t=127284
zhen xiang 	真想	c=2 d=2.93199e-08 t=127284
zhen xiang 	真相	c=1 d=4.52028e-42 t=127284
zhen you dian 	真有點	c=2 d=3.58053e-06 t=127284
zhen zheng 	真正	c=1 d=1 t=125709
zhen zhuo 	斟酌	c=2 d=0.20818 t=127284
zheng 	掙	c=2 d=1.73906 t=127284
zheng 	整	c=34 d=0.939537 t=127284
zheng 	正	c=3 d=6.06737e-05 t=127284
zheng 	箏	c=1 d=0.798516 t=127284
zheng bu lai 	整不來	c=1 d=0.458406 t=127284
zheng ce 	政策	c=4 d=0.00442152 t=127284
zheng chang 	正常	c=69 d=0.353925 t=127284
zheng chu 	整除	c=1 d=1 t=124030
zheng dao 	整到	c=1 d=0.188247 t=127284
